SerCon 'Callisto CF-IRMS' system : IN1215 Gulf Bio
16:06:48	05-13-2022

Data from file : C:\Sercon\Callisto_4100\ISOEARTH+\Results\PYRO PRECISION CYSTINE.prn
Un-Drift Corrected
N	Type	Name	Weight/Vol	Beam Area	N (Sam)	-------	15N (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	C (Sam)	-------	13C (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	S (Sam)	-------	34S (Sam)	None (Sam)	Ratio 1	Ratio 2	Status
 	 	 	 	 	 ug	 	DeltaAir	 	 	 	 	 ug	 	DeltaPDB	 	 	 	 	 ug	 	*DeltaCDT	 	 	 	 
 1 	B	Blank	 100 	 9.53305175879944E-09 	 0 	 0 	 0 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 1.01611596870985E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 2.63386708276858E-11 	 0 	 0 	 0 	 0 	 0 	 0 	? #~@U220513160648AE
 2 	B	Blank	 100 	 1.09103991353596E-08 	 0 	 0 	 0 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 1.05318051155101E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.49321221457489E-10 	 0 	 0 	 0 	 0 	 0 	 0 	? #~@U220513162434LO
 3 	B	Blank	 100 	 1.61025463601104E-08 	 0 	 0 	 0 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 1.0544654476842E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.31461489155486E-10 	 0 	 0 	 0 	 0 	 0 	 0 	? #~@U220513164219OU
 4 	B	Blank	 100 	 1.42638750988584E-08 	 0 	 0 	 0 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 1.04721318899478E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.16553462519396E-10 	 0 	 0 	 0 	 0 	 0 	 0 	? #~@U220513170005BK
 5 	B	Blank	 100 	 1.04368038825013E-08 	 0 	 0 	 0 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 1.02636345256091E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 9.6851324377957E-11 	 0 	 0 	 0 	 0 	 0 	 0 	? #~@U220513171751BI
 6 	S	TEST	 100 	 2.02163327717164E-07 	 0 	 0 	 0 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 5.88519164512746E-07 	 0 	 0 	 0 	 0 	 0 	 0 	 6.00080809459724E-07 	 0 	 0 	 0 	 0 	 0 	 0 	? #~@U220513173537PN
 7 	R	CYSTINE	 100 	 1.96528859457146E-07 	 11.6000003814697 	 0.000000000000001 	 3.77999997138977 	 0 	 3.68037953499108E-03 	 1.35351697392462E-05 	 5.6920902791191E-07 	 29.8999996185303 	 0.000000000000001 	-14.2600002288818 	 0 	 0 	 0 	 5.99870154160964E-07 	 26.6000003814697 	 0.000000000000001 	 2.90000009536743 	-1000 	 0 	 0 	? #~@U220513175323PI
 8 	S	TEST	 100 	 2.00532843865064E-07 	 11836.2900708257 	 0 	 3.54628317106068 	 0 	 3.6895379100784E-03 	 1.38136149250549E-05 	 5.77972242954417E-07 	 30360.3217658677 	 0 	-14.2028191537677 	-29.9533209996454 	 1.10776000806053E-02 	 4.01036702659604E-03 	 6.2124738992031E-07 	 27547.7815608786 	 0 	 3.28122002619847 	 3.28122002619847 	 4.83239000040804E-02 	 4.41339657299977E-04 	? #~@U220513181109XT
 9 	S	TEST	 100 	 1.93671231676906E-07 	 11431.1344613932 	 0 	 3.42130328345973 	 0 	 3.68907842152164E-03 	 1.45071643703182E-05 	 5.66556256353934E-07 	 29760.6519307208 	 0 	-14.1472135635839 	-29.8973532599719 	 1.10782249317433E-02 	 4.01059840842807E-03 	 5.98245879557258E-07 	 26527.7438222284 	 0 	 3.02780279799896 	 3.02780279799896 	 4.83127089998328E-02 	 4.42402423232124E-04 	? #~@U220513182855OL
 10 	S	TEST	 100 	 2.04557069567735E-07 	 12073.7173779671 	 0 	 3.67190500319559 	 0 	 3.68999975874425E-03 	 1.42333985944092E-05 	 5.88139830837164E-07 	 30894.4156058348 	 0 	-14.153550456485 	-29.8226499165272 	 1.10781537228104E-02 	 4.0109072469941E-03 	 6.37722656848805E-07 	 28278.2710784523 	 0 	 3.22009828327947 	 3.22009828327947 	 4.83212008477063E-02 	 4.43324969864989E-04 	? #~@U220513184641SE
 11 	S	TEST	 100 	 2.02094003420861E-07 	 11928.3126460022 	 0 	 3.29232355764499 	 0 	 3.68860422755968E-03 	 1.43485052721317E-05 	 5.79354310081825E-07 	 30432.9201440468 	 0 	-14.0843706693427 	-29.6382454433284 	 1.10789311099145E-02 	 0.004011669611976 	 6.25239147372669E-07 	 27724.7313258173 	 0 	 3.3485280760876 	 3.3485280760876 	 4.83268723580393E-02 	 4.40867849192728E-04 	? #~@U220513190427BG
 12 	S	TEST	 100 	 1.97282573423385E-07 	 11644.2312800809 	 0 	 3.44243420124064 	 0 	 3.68915610934086E-03 	 1.47574235429396E-05 	 5.7280987131314E-07 	 30089.1427497168 	 0 	-14.0039509336048 	-29.0697894850366 	 1.10798348025689E-02 	 4.01401972262588E-03 	 6.17757271198505E-07 	 27392.9981779673 	 0 	 3.31813211732285 	 3.31813211732285 	 4.83255300601695E-02 	 4.39685115907196E-04 	? #~@U220513192213TY
 13 	R	CYSTINE	 100 	 1.99909345834082E-07 	 11.6000003814697 	 0.000000000000001 	 3.77999997138977 	 0 	 3.68915610934086E-03 	 1.47574235429396E-05 	 5.7643685513753E-07 	 29.8999996185303 	 0.000000000000001 	-14.2600002288818 	 0 	 1.10798348025689E-02 	 4.01401972262588E-03 	 6.21416605645075E-07 	 26.6000003814697 	 0.000000000000001 	 2.90000009536743 	-1000 	 4.83255300601695E-02 	 4.39685115907196E-04 	? #~@U220513193958JR
 14 	S	TEST	 100 	 1.97269669745259E-07 	 11446.7387219184 	 0 	 3.58793942921133 	 0 	 3.6896910593115E-03 	 1.40080418146275E-05 	 5.77089813713627E-07 	 29933.8668325655 	 0 	-14.2332658842085 	-29.7973199538231 	 0.011077257944606 	 4.01101196612712E-03 	 6.14490732797623E-07 	 26303.5088286207 	 0 	 2.87377694225586 	 2.87377694225586 	 4.83059071481989E-02 	 4.39077701912538E-04 	? #~@U220513195744UB
 14 	S	END	
Drift Corrected
N	Type	Name	Weight/Vol	Beam Area	N (Sam)	-------	15N (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	C (Sam)	-------	13C (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	S (Sam)	-------	34S (Sam)	None (Sam)	Ratio 1	Ratio 2	Status
 	 	 	 	 	ug	 	DeltaAir	 	 	 	 	ug	 	DeltaPDB	 	 	 	 	ug	 	*DeltaCDT	 	 	 	 
 1 	B	Blank	 100 	 9.53305175879944E-09 	 572.479440916918 		 4.60429146328168 	 0 	 3.69342767756476E-03 	 1.85256723908345E-05 	 1.01611596870985E-09 	 54.0613432221266 		-56.0649192284318 	-32.3382286865934 	 1.06071872896463E-02 	 4.0005073411229E-03 	 2.63386708276858E-11 	 1.26761220249287 		 95.8312600923937 	 95.8312600923937 	 5.24109471084682E-02 	 1.71432022698959E-02 	?
 2 	B	Blank	 100 	 1.09103991353596E-08 	 653.31581507311 		 0.415303600269439 	 0 	 3.67802686368639E-03 	 1.60713344703518E-05 	 1.05318051155101E-09 	 55.9142088447487 		-57.4103188088424 	-76.1690572675268 	 1.05920687654813E-02 	 3.8193019275128E-03 	 1.49321221457489E-10 	 6.843338339627 		 109.044993284289 	 109.044993284289 	 5.29944712100977E-02 	 2.38498789949624E-02 	?
