Sercon 'Callisto CF-IRMS' system : IN1215 Gulf Bio... 16:06:48	05-13-2022

Extra Data from file : C:\Sercon\Callisto_4100\ISOEARTH+\Results\PYRO PRECISION CYSTINEExtra.prn
Un-Drift Corrected
N	Name	Weight/Vol	Total[1]	Total[2]	Total[3]	Total[4]	Blank[1]	Blank[2]	Blank[3]	Blank[4]	Zero[1,1]	Zero[1,2]	Zero[1,3]	Zero[1,4]	Zero[2,1]	Zero[2,2]	Zero[2,3]	Zero[2,4]	MaxBeam[1]	MaxBeam[2]	MaxBeam[3]	MaxBeam[4]	MaxTime[1]	MaxTime[2]	MaxTime[3]	MaxTime[4]	IsoCorr[1]	IsoCorr[2]	EAcorr	EAcorr	Total[1]	Total[2]	Total[3]	Total[4]	Blank[1]	Blank[2]	Blank[3]	Blank[4]	Zero[1,1]	Zero[1,2]	Zero[1,3]	Zero[1,4]	Zero[2,1]	Zero[2,2]	Zero[2,3]	Zero[2,4]	MaxBeam[1]	MaxBeam[2]	MaxBeam[3]	MaxBeam[4]	MaxTime[1]	MaxTime[2]	MaxTime[3]	MaxTime[4]	IsoCorr[1]	IsoCorr[2]	EAcorr	EAcorr	Total[1]	Total[2]	Total[3]	Total[4]	Blank[1]	Blank[2]	Blank[3]	Blank[4]	Zero[1,1]	Zero[1,2]	Zero[1,3]	Zero[1,4]	Zero[2,1]	Zero[2,2]	Zero[2,3]	Zero[2,4]	MaxBeam[1]	MaxBeam[2]	MaxBeam[3]	MaxBeam[4]	MaxTime[1]	MaxTime[2]	MaxTime[3]	MaxTime[4]	IsoCorr[1]	IsoCorr[2]	EAcorr	EAcorr	
 1 	Blank	 100 	 9.455272E-09 	 7.439402E-11 	 3.385619E-12 	 0 	 9.455272E-09 	 7.439402E-11 	 3.385619E-12 	 0 	 6.175649E-11 	 1.23386E-12 	 4.962411E-13 	 0 	 6.475651E-11 	 1.27411E-12 	 5.057404E-13 	 0 	 3.01119E-10 	 3.12286E-12 	 5.867407E-13 	-99 	 197 	 197 	 197 	 0 	1.06554	7.55748	0.	0.0001	 9.997645E-10 	 1.200341E-11 	 4.348069E-12 	 0 	 9.997645E-10 	 1.200341E-11 	 4.348069E-12 	 0 	 2.881528E-12 	 9.386025E-14 	 1.074097E-14 	 0 	 2.944006E-12 	 9.310998E-14 	 8.491038E-15 	 0 	 2.061895E-11 	 3.088606E-13 	 8.874151E-14 	-99 	 425 	 424 	 426 	 0 	0.	0.	0.	0.	 2.610178E-11 	 1.186971E-12 	-9.500822E-13 	 0 	 2.610178E-11 	 1.186971E-12 	-9.500822E-13 	 0 	 5.806466E-12 	 3.846103E-13 	 1.514908E-13 	 0 	 4.406475E-12 	 3.068604E-13 	 1.274905E-13 	 0 	 6.219025E-12 	 3.938603E-13 	 1.567409E-13 	-99 	 808 	 696 	 808 	 0 	0.	0.	0.	0.
 2 	Blank	 100 	 1.082221E-08 	 8.478997E-11 	 3.399374E-12 	 0 	 1.013874E-08 	 7.959199E-11 	 3.392496E-12 	 0 	 6.753151E-11 	 1.26461E-12 	 4.767406E-13 	 0 	 6.506895E-11 	 1.23586E-12 	 4.65991E-13 	 0 	 3.64069E-10 	 3.589861E-12 	 5.64741E-13 	-99 	 202 	 202 	 204 	 0 	1.06554	7.55748	0.	0.0001	 1.036468E-09 	 1.240858E-11 	 4.304355E-12 	 0 	 1.018116E-09 	 1.220599E-11 	 4.326212E-12 	 0 	 2.706502E-12 	 8.611037E-14 	 5.990868E-15 	 0 	 2.769007E-12 	 8.286037E-14 	 3.240463E-15 	 0 	 2.091904E-11 	 3.048603E-13 	 8.474124E-14 	-99 	 438 	 438 	 436 	 0 	0.	0.	0.	0.	 1.417064E-10 	 7.872526E-12 	-2.577155E-13 	 0 	 8.39041E-11 	 4.529749E-12 	-6.038989E-13 	 0 	 4.868994E-12 	 3.321102E-13 	 1.25241E-13 	 0 	 4.544032E-12 	 3.138605E-13 	 1.174907E-13 	 0 	 5.51903E-12 	 3.738607E-13 	 1.4274E-13 	-99 	 699 	 737 	 933 	 0 	0.	0.	0.	0.
 3 	Blank	 100 	 1.597271E-08 	 1.252642E-10 	 4.567466E-12 	 0 	 1.20834E-08 	 9.481606E-11 	 3.784153E-12 	 0 	 6.73315E-11 	 1.23486E-12 	 4.467407E-13 	 0 	 6.494399E-11 	 1.210111E-12 	 4.419906E-13 	 0 	 5.30019E-10 	 4.852859E-12 	 5.707414E-13 	-99 	 197 	 197 	 197 	 0 	1.06554	7.55748	0.	0.0001	 1.037564E-09 	 1.248908E-11 	 4.411885E-12 	 0 	 1.024599E-09 	 1.230036E-11 	 4.35477E-12 	 0 	 2.744027E-12 	 8.286037E-14 	 4.240532E-15 	 0 	 2.706502E-12 	 8.061043E-14 	 2.490629E-15 	 0 	 2.156897E-11 	 3.1386E-13 	 8.674138E-14 	-99 	 422 	 422 	 420 	 0 	0.	0.	0.	0.	 1.260787E-10 	 6.171077E-12 	-7.883049E-13 	 0 	 9.79623E-11 	 5.076858E-12 	-6.653675E-13 	 0 	 4.544032E-12 	 3.163607E-13 	 1.247409E-13 	 0 	 4.269002E-12 	 2.998604E-13 	 1.172404E-13 	 0 	 5.269007E-12 	 3.648609E-13 	 1.367413E-13 	-99 	 780 	 787 	 793 	 0 	0.	0.	0.	0.
 4 	Blank	 100 	 1.414854E-08 	 1.109545E-10 	 4.376933E-12 	 0 	 1.259969E-08 	 9.885067E-11 	 3.932348E-12 	 0 	 6.759396E-11 	 1.22611E-12 	 4.327411E-13 	 0 	 6.4594E-11 	 1.19886E-12 	 4.277407E-13 	 0 	 4.67519E-10 	 4.360861E-12 	 5.477407E-13 	-99 	 199 	 199 	 199 	 0 	1.06554	7.55748	0.	0.0001	 1.030369E-09 	 1.236584E-11 	 4.478338E-12 	 0 	 1.026041E-09 	 1.231673E-11 	 4.385662E-12 	 0 	 2.631506E-12 	 8.086023E-14 	 1.990595E-15 	 0 	 2.593981E-12 	 7.711019E-14 	-7.589415E-16 	 0 	 2.121903E-11 	 3.048603E-13 	 8.574044E-14 	-99 	 428 	 425 	 428 	 0 	0.	0.	0.	0.	 1.11167E-10 	 5.875652E-12 	-4.891401E-13 	 0 	 1.012635E-10 	 5.276557E-12 	-6.213106E-13 	 0 	 4.043987E-12 	 2.866101E-13 	 1.244911E-13 	 0 	 3.818973E-12 	 2.751107E-13 	 1.164906E-13 	 0 	 4.468981E-12 	 3.1386E-13 	 1.417408E-13 	-99 	 674 	 749 	 822 	 0 	0.	0.	0.	0.
 5 	Blank	 100 	 1.035219E-08 	 8.124621E-11 	 3.363014E-12 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.696899E-11 	 1.20886E-12 	 4.192406E-13 	 0 	 6.390646E-11 	 1.18311E-12 	 4.149905E-13 	 0 	 3.55269E-10 	 3.476861E-12 	 5.107408E-13 	-99 	 197 	 197 	 197 	 0 	1.06554	7.55748	0.	0.0001	 1.010629E-09 	 1.193603E-11 	 3.798624E-12 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 2.593981E-12 	 7.911033E-14 	 5.7402E-15 	 0 	 2.543965E-12 	 7.486069E-14 	-1.509209E-15 	 0 	 2.101896E-11 	 3.0086E-13 	 8.574044E-14 	-99 	 423 	 423 	 416 	 0 	0.	0.	0.	0.	 9.299031E-11 	 4.528268E-12 	-6.67253E-13 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 3.70648E-12 	 2.7211E-13 	 1.207407E-13 	 0 	 4.093975E-12 	 2.928604E-13 	 1.112409E-13 	 0 	 4.519052E-12 	 3.118599E-13 	 1.2974E-13 	-99 	 967 	 917 	 965 	 0 	0.	0.	0.	0.
 6 	TEST	 100 	 2.005399E-07 	 1.576719E-09 	 4.672215E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.713149E-11 	 1.20236E-12 	 4.082407E-13 	 0 	 7.180651E-11 	 1.23861E-12 	 5.044905E-13 	 0 	 8.541519E-09 	 6.785986E-11 	 1.95874E-12 	-99 	 190 	 190 	 191 	 0 	1.06554	7.55748	0.	0.0001	 5.787576E-07 	 7.236147E-09 	 2.525439E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 2.781497E-12 	 7.961036E-14 	 2.741297E-15 	 0 	 2.310649E-11 	 3.358602E-13 	 8.874108E-14 	 0 	 1.161832E-08 	 1.455189E-10 	 5.056174E-11 	-99 	 415 	 414 	 415 	 0 	0.	0.	0.	0.	 5.706196E-07 	 2.920195E-08 	 2.592162E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 4.569012E-12 	 3.163607E-13 	 1.214909E-13 	 0 	 9.603149E-11 	 5.01236E-12 	 1.647411E-13 	 0 	 9.117219E-09 	 4.670728E-10 	 4.162741E-12 	-99 	 729 	 728 	 728 	 0 	0.	0.	0.	0.
 7 	CYSTINE	 100 	 1.94942E-07 	 1.532104E-09 	 5.47658E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.825646E-11 	 1.28561E-12 	 5.572409E-13 	 0 	 7.263148E-11 	 1.29836E-12 	 6.274907E-13 	 0 	 8.415219E-09 	 6.691986E-11 	 2.343742E-12 	-99 	 188 	 188 	 189 	 0 	1.06554	7.55748	0.	0.0001	 5.597651E-07 	 7.000975E-09 	 2.442941E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.243966E-12 	 1.206106E-13 	 2.699056E-14 	 0 	 2.035649E-11 	 3.148606E-13 	 9.574069E-14 	 0 	 1.149317E-08 	 1.439719E-10 	 5.005274E-11 	-99 	 407 	 407 	 407 	 0 	0.	0.	0.	0.	 5.704041E-07 	 2.920551E-08 	 2.60546E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 3.314399E-11 	 1.78236E-12 	 1.322406E-13 	 0 	 1.084565E-10 	 5.65736E-12 	 1.627413E-13 	 0 	 8.779369E-09 	 4.498598E-10 	 4.021741E-12 	-99 	 724 	 724 	 725 	 0 	0.	0.	0.	0.
 8 	TEST	 100 	 1.989132E-07 	 1.562951E-09 	 5.667986E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.876899E-11 	 1.28761E-12 	 6.314905E-13 	 0 	 7.315651E-11 	 1.29886E-12 	 6.837408E-13 	 0 	 8.605719E-09 	 6.840287E-11 	 2.515741E-12 	-99 	 189 	 189 	 190 	 0 	1.06483	20.62803	0.	0.00047	 5.683826E-07 	 7.109139E-09 	 2.480529E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.181516E-12 	 1.2236E-13 	 2.999033E-14 	 0 	 2.095651E-11 	 3.266098E-13 	 1.00741E-13 	 0 	 1.166007E-08 	 1.460459E-10 	 5.077874E-11 	-99 	 408 	 408 	 408 	 0 	1.0577	1.08595	0.	0.00046	 5.907183E-07 	 3.026188E-08 	 2.671698E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 4.454398E-11 	 2.37161E-12 	 1.289906E-13 	 0 	 1.17169E-10 	 6.11786E-12 	 1.612408E-13 	 0 	 8.848919E-09 	 4.535049E-10 	 4.021741E-12 	-99 	 725 	 725 	 726 	 0 	1.06022	1.	0.	0.00072
 9 	TEST	 100 	 1.921045E-07 	 1.509264E-09 	 5.748808E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.863149E-11 	 1.27611E-12 	 6.577408E-13 	 0 	 7.396897E-11 	 1.298611E-12 	 7.109907E-13 	 0 	 8.28117E-09 	 6.582686E-11 	 2.513741E-12 	-99 	 188 	 188 	 189 	 0 	1.06483	20.62803	0.	0.00047	 5.571555E-07 	 6.969096E-09 	 2.431672E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.281492E-12 	 1.258603E-13 	 3.299054E-14 	 0 	 2.07315E-11 	 3.261102E-13 	 1.022411E-13 	 0 	 1.140072E-08 	 1.428269E-10 	 4.964474E-11 	-99 	 408 	 408 	 408 	 0 	1.0577	1.08595	0.	0.00046	 5.688515E-07 	 2.913561E-08 	 2.587353E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 5.1744E-11 	 2.741361E-12 	 1.277416E-13 	 0 	 1.301065E-10 	 6.78236E-12 	 1.632409E-13 	 0 	 8.418819E-09 	 4.313239E-10 	 3.826741E-12 	-99 	 727 	 727 	 726 	 0 	1.06022	1.	0.	0.00072
 10 	TEST	 100 	 2.02903E-07 	 1.5945E-09 	 5.957374E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.880646E-11 	 1.26461E-12 	 6.82991E-13 	 0 	 7.413151E-11 	 1.28936E-12 	 7.33991E-13 	 0 	 8.715969E-09 	 6.925185E-11 	 2.662742E-12 	-99 	 190 	 190 	 191 	 0 	1.06483	20.62803	0.	0.00047	 5.783808E-07 	 7.234564E-09 	 2.524503E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 3.706507E-12 	 1.173601E-13 	 3.124064E-14 	 0 	 2.2744E-11 	 3.511102E-13 	 1.122405E-13 	 0 	 1.169627E-08 	 1.465579E-10 	 5.094374E-11 	-99 	 412 	 412 	 412 	 0 	1.0577	1.08595	0.	0.00046	 6.063842E-07 	 3.106285E-08 	 2.756408E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 5.710651E-11 	 3.01836E-12 	 1.254908E-13 	 0 	 1.190565E-10 	 6.21536E-12 	 1.544906E-13 	 0 	 9.305819E-09 	 4.768638E-10 	 4.230741E-12 	-99 	 729 	 729 	 729 	 0 	1.06022	1.	0.	0.00072
 11 	TEST	 100 	 2.0046E-07 	 1.574706E-09 	 5.933243E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.8519E-11 	 1.24936E-12 	 6.839906E-13 	 0 	 7.365653E-11 	 1.28361E-12 	 7.422405E-13 	 0 	 8.671469E-09 	 6.889886E-11 	 2.680741E-12 	-99 	 189 	 189 	 190 	 0 	1.06483	20.62803	0.	0.00047	 5.697401E-07 	 7.126997E-09 	 2.487261E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.194006E-12 	 1.263607E-13 	 3.874115E-14 	 0 	 2.1319E-11 	 3.348606E-13 	 1.074908E-13 	 0 	 1.164452E-08 	 1.459029E-10 	 5.073474E-11 	-99 	 409 	 408 	 409 	 0 	1.0577	1.08595	0.	0.00046	 5.94511E-07 	 3.046046E-08 	 2.676986E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 6.301901E-11 	 3.32036E-12 	 1.247409E-13 	 0 	 1.15769E-10 	 6.04436E-12 	 1.497413E-13 	 0 	 9.197519E-09 	 4.713608E-10 	 4.14674E-12 	-99 	 727 	 727 	 727 	 0 	1.06022	1.	0.	0.00072
 12 	TEST	 100 	 1.956856E-07 	 1.537431E-09 	 5.956994E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.845652E-11 	 1.23836E-12 	 6.944909E-13 	 0 	 7.415651E-11 	 1.27536E-12 	 7.522407E-13 	 0 	 8.463269E-09 	 6.725787E-11 	 2.652741E-12 	-99 	 189 	 189 	 190 	 0 	1.06483	20.62803	0.	0.00047	 5.633021E-07 	 7.047139E-09 	 2.460595E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.168998E-12 	 1.271106E-13 	 3.774108E-14 	 0 	 2.1219E-11 	 3.331103E-13 	 1.074904E-13 	 0 	 1.150967E-08 	 1.442019E-10 	 5.017474E-11 	-99 	 409 	 409 	 409 	 0 	1.0577	1.08595	0.	0.00046	 5.873983E-07 	 3.009425E-08 	 2.646719E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 6.596901E-11 	 3.47561E-12 	 1.187401E-13 	 0 	 1.178065E-10 	 6.14986E-12 	 1.47991E-13 	 0 	 9.209119E-09 	 4.720028E-10 	 4.143741E-12 	-99 	 727 	 727 	 728 	 0 	1.06022	1.	0.	0.00072
 13 	CYSTINE	 100 	 1.982921E-07 	 1.557987E-09 	 5.921739E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.845652E-11 	 1.22986E-12 	 7.104911E-13 	 0 	 7.424397E-11 	 1.270111E-12 	 7.704909E-13 	 0 	 8.569569E-09 	 6.809286E-11 	 2.717741E-12 	-99 	 189 	 189 	 190 	 0 	1.06483	20.62803	0.	0.00047	 5.668691E-07 	 7.091519E-09 	 2.476217E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.081485E-12 	 1.251104E-13 	 3.799088E-14 	 0 	 2.159398E-11 	 3.403601E-13 	 1.124912E-13 	 0 	 1.156277E-08 	 1.448979E-10 	 5.039974E-11 	-99 	 410 	 409 	 410 	 0 	1.0577	1.08595	0.	0.00046	 5.908716E-07 	 3.027979E-08 	 2.652264E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 6.92815E-11 	 3.64061E-12 	 1.214909E-13 	 0 	 1.149815E-10 	 6.00661E-12 	 1.424906E-13 	 0 	 9.243319E-09 	 4.738249E-10 	 4.14874E-12 	-99 	 728 	 728 	 729 	 0 	1.06022	1.	0.	0.00072
 14 	TEST	 100 	 1.956725E-07 	 1.53711E-09 	 6.010418E-11 	 0 	 1.215019E-08 	 9.532978E-11 	 3.818481E-12 	 0 	 6.845652E-11 	 1.217111E-12 	 7.127411E-13 	 0 	 7.4769E-11 	 1.26936E-12 	 7.764913E-13 	 0 	 8.458069E-09 	 6.718986E-11 	 2.712741E-12 	-99 	 189 	 189 	 190 	 0 	1.06452	21.92793	0.	0.00048	 5.675107E-07 	 7.099763E-09 	 2.479398E-09 	 0 	 1.022959E-09 	 1.224059E-11 	 4.268255E-12 	 0 	 4.193978E-12 	 1.281102E-13 	 3.999101E-14 	 0 	 2.1394E-11 	 3.373599E-13 	 1.124907E-13 	 0 	 1.160262E-08 	 1.453879E-10 	 5.058474E-11 	-99 	 409 	 409 	 409 	 0 	1.05795	1.08694	0.	0.00046	 5.842862E-07 	 2.994219E-08 	 2.623171E-10 	 0 	 9.960884E-11 	 5.126899E-12 	-6.304991E-13 	 0 	 7.01065E-11 	 3.68561E-12 	 1.209909E-13 	 0 	 1.184065E-10 	 6.18336E-12 	 1.422404E-13 	 0 	 9.013769E-09 	 4.620889E-10 	 4.043741E-12 	-99 	 729 	 728 	 729 	 0 	1.06081	1.	0.	0.00075
 14 	END	
