SerCon 'Callisto CF-IRMS' system : IN1215 Gulf Bio
10:37:33	04-02-2026

Data from file : D:\Sorting out\Demo Software\New folder\2 - Copy Callisto_Update\Callisto6000\ISOEARTH+\Replay\PYRO PRECISION CYSTINE.bch\Results\ReprocessedData.prn
Un-Drift Corrected
N	Type	Name	Weight/Vol	Beam Area	N (Sam)	-------	15N (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	C (Sam)	-------	13C (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	S (Sam)	-------	34S (Sam)	None (Sam)	Ratio 1	Ratio 2	Status
 	 	 	 	 	 ug	 	DeltaAir	 	 	 	 	 ug	 	DeltaPDB	 	 	 	 	 ug	 	*DeltaCDT	 	 	 	 
 1 	B	Blank	 100 	 9.53305089057034E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.01611596827617E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 2.63386937043517E-11 	 0 	 0 	 0 	 0 	 0 	 0 	 #~@U220513160648AE
 2 	B	Blank	 100 	 1.09104009637581E-08 	 0 	 0 	 0 	 0 	 0 	 0 	 1.05318051241837E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.49321166325808E-10 	 0 	 0 	 0 	 0 	 0 	 0 	 #~@U220513162434LO
 3 	B	Blank	 100 	 1.61025427935189E-08 	 0 	 0 	 0 	 0 	 0 	 0 	 1.0544655587065E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.31461425295978E-10 	 0 	 0 	 0 	 0 	 0 	 0 	 #~@U220513164219OU
 4 	B	Blank	 100 	 1.42638759983126E-08 	 0 	 0 	 0 	 0 	 0 	 0 	 1.0472131885611E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 1.16553558037608E-10 	 0 	 0 	 0 	 0 	 0 	 0 	 #~@U220513170005BK
 5 	B	Blank	 100 	 1.04368021339001E-08 	 0 	 0 	 0 	 0 	 0 	 0 	 1.02636345256091E-09 	 0 	 0 	 0 	 0 	 0 	 0 	 9.68513819490924E-11 	 0 	 0 	 0 	 0 	 0 	 0 	 #~@U220513171751BI
 6 	S	TEST	 100 	 2.02163327710225E-07 	 0 	 0 	 0 	 0 	 0 	 0 	 5.88519165400925E-07 	 0 	 0 	 0 	 0 	 0 	 0 	 6.00080812762638E-07 	 0 	 0 	 0 	 0 	 0 	 0 	 #~@U220513173537PN
 7 	R	CYSTINE	 100 	 1.96528845343436E-07 	 11.6000003814697 	 0.000000000000001 	 3.77999997138977 	 0 	 0 	 0 	 5.69209029244178E-07 	 29.8999996185303 	 0.000000000000001 	-14.2600002288818 	 0 	 0 	 0 	 5.99870154160964E-07 	 26.6000003814697 	 0.000000000000001 	 2.90000009536743 	-1000 	 0 	 0 	 #~@U220513175323PI
 8 	S	TEST	 100 	 2.00532843740164E-07 	 11836.2909148941 	 0 	 3.54606600810021 	 0 	 3.68953711167878E-03 	 1.38136140362797E-05 	 5.77972244286684E-07 	 30360.3217648332 	 0 	-14.2028233128195 	-29.9533183164272 	 1.10776000338692E-02 	 0.004010367037689 	 6.21247393473023E-07 	 27547.781552442 	 0 	 3.28121274298798 	 3.28121274298798 	 4.83238996830256E-02 	 4.41339650251393E-04 	 #~@U220513181109XT
 9 	S	TEST	 100 	 1.93671231690784E-07 	 11431.1352825981 	 0 	 3.42115742433296 	 0 	 3.68907788527056E-03 	 1.45071704910004E-05 	 5.6655625857438E-07 	 29760.6519749762 	 0 	-14.1471516254134 	-29.8971768631051 	 1.10782256277549E-02 	 4.01059913768801E-03 	 5.98245886551663E-07 	 26527.7438354978 	 0 	 3.02781476327334 	 3.02781476327334 	 0.048312709524207 	 4.42402428916466E-04 	 #~@U220513182855OL
 10 	S	TEST	 100 	 2.0455706934569E-07 	 12073.7182329716 	 0 	 3.67161933975925 	 0 	 3.68999870850262E-03 	 1.42334011636038E-05 	 5.88139831503298E-07 	 30894.4155701683 	 0 	-14.1536915675646 	-29.8225585101094 	 0.011078152137117 	 4.01090762488652E-03 	 6.37722656710027E-07 	 28278.2710507668 	 0 	 3.22007513307469 	 3.22007513307469 	 4.83211998213573E-02 	 4.43324965090142E-04 	 #~@U220513184641SE
 11 	S	TEST	 100 	 2.02094003420861E-07 	 11928.3135028838 	 0 	 3.29217771726694 	 0 	 3.68860369137753E-03 	 1.43485078621036E-05 	 5.79354367813423E-07 	 30432.9231089561 	 0 	-14.0846144414598 	-29.638165287175 	 1.10789283705984E-02 	 4.01166994335757E-03 	 6.25239207685535E-07 	 27724.7339386756 	 0 	 3.34849556175504 	 3.34849556175504 	 4.83268709209233E-02 	 4.40867845327375E-04 	 #~@U220513190427BG
 12 	S	TEST	 100 	 1.97282573416446E-07 	 11644.2321165344 	 0 	 3.44228833904219 	 0 	 3.68915557307849E-03 	 1.47574244877318E-05 	 5.72809930154961E-07 	 30089.1457706232 	 0 	-14.0040648896826 	-29.0696229512771 	 1.10798335220217E-02 	 4.01402041110976E-03 	 6.17757271115238E-07 	 27392.998162593 	 0 	 3.31811885147516 	 3.31811885147516 	 4.83255294717974E-02 	 4.39685118408306E-04 	 #~@U220513192213TY
 13 	R	CYSTINE	 100 	 1.99909345847959E-07 	 11.6000003814697 	 0.000000000000001 	 3.77999997138977 	 0 	 3.68915557307849E-03 	 1.47574244877318E-05 	 5.76436912647083E-07 	 29.8999996185303 	 0.000000000000001 	-14.2600002288818 	 0 	 1.10798335220217E-02 	 4.01402041110976E-03 	 6.21416548801657E-07 	 26.6000003814697 	 0.000000000000001 	 2.90000009536743 	-1000 	 4.83255294717974E-02 	 4.39685118408306E-04 	 #~@U220513193958JR
 14 	S	TEST	 100 	 1.97269669766076E-07 	 11446.7387219363 	 0 	 3.58793942921133 	 0 	 3.6896910593115E-03 	 1.40080433833888E-05 	 5.77089758202476E-07 	 29933.8609594225 	 0 	-14.2329994040098 	-29.7970387539219 	 1.10772609390973E-02 	 4.01101312866377E-03 	 6.14490736183804E-07 	 26303.5114064766 	 0 	 2.87381960106018 	 2.87381960106018 	 4.83059090368152E-02 	 4.39077690089107E-04 	 #~@U220513195744UB
 14 	S	END	
Drift Corrected
N	Type	Name	Weight/Vol	Beam Area	N (Sam)	-------	15N (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	C (Sam)	-------	13C (Sam)	None (Sam)	Ratio 1	Ratio 2	Beam Area	S (Sam)	-------	34S (Sam)	None (Sam)	Ratio 1	Ratio 2	Status
 	 	 	 	 	ug	 	DeltaAir	 	 	 	 	ug	 	DeltaPDB	 	 	 	 	ug	 	*DeltaCDT	 	 	 	 
 1 	B	Blank	 100 	 9.53305089057034E-09 	 572.47947241976 		 4.60437495703282 	 0 	 3.69342798452953E-03 	 1.85256814482051E-05 	 1.01611596827617E-09 	 54.0613485056236 		-56.0654094545071 	-32.3381561476049 	 1.06071817808778E-02 	 4.00050764101359E-03 	 2.63386937043517E-11 	 1.26761265047567 		 95.8310520006653 	 95.8310520006653 	 5.24109382163406E-02 	 1.71432077217268E-02 	
 2 	B	Blank	 100 	 1.09104009637581E-08 	 653.316011952801 		 0.415527810408854 	 0 	 3.67802768799497E-03 	 1.60713245642959E-05 	 1.05318051241837E-09 	 55.9142134299186 		-57.4107020025526 	-76.1688947058095 	 1.05920644594569E-02 	 3.81930259957546E-03 	 1.49321166325808E-10 	 6.84333502860651 		 109.044843458245 	 109.044843458245 	 5.29944643736411E-02 	 2.38497958444697E-02 	
 3 	B	Blank	 100 	 1.61025427935189E-08 	 961.453683734348 		 1.43029057002206 	 0 	 3.68175846328069E-03 	 1.44703260550135E-05 	 1.0544655587065E-09 	 55.8626575563979 		-52.7762323327339 	-54.2236791381908 	 1.06441429220306E-02 	 3.91002851082193E-03 	 1.31461425295978E-10 	 6.07271318056032 		 190.875051142575 	 190.875051142575 	 5.66081195910642E-02 	 0.027271553599217 	
 4 	B	Blank	 100 	 1.42638759983126E-08 	 849.191138493784 		 1.44342223298762 	 0 	 3.68180674183958E-03 	 1.54847734270255E-05 	 1.0472131885611E-09 	 55.3598563226694 		-56.5574164370985 	-33.3943001998803 	 0.010601653000013 	 3.99614133022229E-03 	 1.16553558037608E-10 	 5.27835835184778 		 0.847422935334372 	 0.847422935334372 	 4.82164225411438E-02 	 3.55555873960469E-02 	
 5 	B	Blank	 100 	 1.04368021339001E-08 	 619.549690186727 		 2.27045963746296 	 0 	 3.68484734485713E-03 	 1.60863792487632E-05 	 1.02636345256091E-09 	 54.1443724843728 		-67.9488867804479 	-164.319163518514 	 1.04736447694708E-02 	 3.45487175404507E-03 	 9.68513819490924E-11 	 4.39850270886453 		 52.9617545754304 	 52.9617545754304 	 5.05178125046611E-02 	 40.789909904186 	
 6 	S	TEST	 100 	 2.02163327710225E-07 	 11967.3870459697 		 4.12614420405988 	 0 	 3.69166976916623E-03 	 1.14143106475501E-05 	 5.88519165400925E-07 	 30979.9017759667 		-14.5625039881142 	-29.9454367068894 	 1.10735582301848E-02 	 4.01039962183953E-03 	 6.00080812762638E-07 	 26770.0040289076 		 2.77571969789304 	 2.77571969789304 	 4.83015769029767E-02 	 4.43613650986663E-04 	
 7 	R	CYSTINE	 100 	 1.96528845343436E-07 	 11600.0007838011 		 3.77998320549652 	 0 	 3.69039710825501E-03 	 1.36190308166169E-05 	 5.69209029244178E-07 	 29899.9994991646 		-14.2601916423797 	-29.9453992220445 	 1.10769553744762E-02 	 4.01039977680938E-03 	 5.99870154160964E-07 	 26599.9995172024 		 2.90000014163724 	 2.90000014163724 	 4.83070651783704E-02 	 4.45283588078382E-04 	
 8 	S	TEST	 100 	 2.00532843740164E-07 	 11802.4881899553 		 3.59408368478392 	 0 	 3.68971364866711E-03 	 1.36700415253552E-05 	 5.77972244286684E-07 	 30296.2067253893 		-14.2393619646085 	-30.1019091935483 	 1.10771894417313E-02 	 4.00975273327772E-03 	 6.21247393473023E-07 	 27383.8936861628 		 3.17937343146181 	 3.17937343146181 	 4.83194024202098E-02 	 4.41339650251393E-04 	
 9 	S	TEST	 100 	 1.93671231690784E-07 	 11366.0297805154 		 3.51718541919509 	 0 	 3.68943093219367E-03 	 1.42087104988294E-05 	 5.6655625857438E-07 	 29635.2170697735 		-14.220231205367 	-30.1943303092712 	 0.011077404417899 	 4.00937064589669E-03 	 5.98245886551663E-07 	 26213.9703683054 		 2.82420220934478 	 2.82420220934478 	 4.83037179182027E-02 	 4.42402428916466E-04 	
 10 	S	TEST	 100 	 2.0455706934569E-07 	 11970.86417389 		 3.81570418058393 	 0 	 3.69052843641992E-03 	 1.3798631985087E-05 	 5.88139831503298E-07 	 30699.507108402 		-14.2633066988534 	-30.2682546999812 	 1.10769203699636E-02 	 4.00906502767709E-03 	 6.37722656710027E-07 	 27779.5002307734 		 2.91463133117443 	 2.91463133117443 	 4.83077112973158E-02 	 4.43324965090142E-04 	
 11 	S	TEST	 100 	 2.02094003420861E-07 	 11793.2089402088 		 3.48422739939166 	 0 	 3.68930976203386E-03 	 1.37700177330872E-05 	 5.79354367813423E-07 	 30177.462482578 		-14.2307725465259 	-30.2324487844052 	 1.10772859627402E-02 	 4.00921305649497E-03 	 6.25239207685535E-07 	 27076.5288070518 		 2.94122727486427 	 2.94122727486427 	 0.048308885784946 	 4.40867845327375E-04 	
 12 	S	TEST	 100 	 1.97282573416446E-07 	 11479.8395926909 		 3.68239784973335 	 0 	 3.69003833569454E-03 	 1.40211252753149E-05 	 5.72809930154961E-07 	 29774.0891210698 		-14.1867627291832 	-29.8127985368097 	 1.10777805098596E-02 	 4.0109479745686E-03 	 6.17757271115238E-07 	 26597.089431284 		 2.8090950099789 	 2.8090950099789 	 4.83030507672575E-02 	 4.39685118408306E-04 	
 13 	R	CYSTINE	 100 	 1.99909345847959E-07 	 11600.0007838011 		 3.77998320549652 	 0 	 3.69039710825501E-03 	 1.36190308166169E-05 	 5.76436912647083E-07 	 29899.9994991646 		-14.2601916423797 	-29.9453992220445 	 1.10769553744762E-02 	 4.01039977680938E-03 	 6.21416548801657E-07 	 26599.9995172024 		 2.90000014163724 	 2.90000014163724 	 4.83070651783704E-02 	 4.38958959648517E-04 	
